"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/E__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/E__MAX","Group: 10_09_continue0909 - Training/E","Group: 10_09_continue0909 - Training/E__MIN","Group: 10_09_continue0909 - Training/E__MAX"
"13","-0.04651745781302452","-0.04651745781302452","-0.04651745781302452","-1.6268093585968018","-1.6268093585968018","-1.6268093585968018","0.05808605998754501","0.05808605998754501","0.05808605998754501","-0.35420718789100647","-0.35420718789100647","-0.35420718789100647"
"14","-0.6320609450340271","-0.6320609450340271","-0.6320609450340271","-1.6616706848144531","-1.6616706848144531","-1.6616706848144531","0.013559921644628048","0.013559921644628048","0.013559921644628048","-0.6469367146492004","-0.6469367146492004","-0.6469367146492004"
"15","-0.48219457268714905","-0.48219457268714905","-0.48219457268714905","-1.7196097373962402","-1.7196097373962402","-1.7196097373962402","0.07219242304563522","0.07219242304563522","0.07219242304563522","-1.07985258102417","-1.07985258102417","-1.07985258102417"
"16","-0.9168214797973633","-0.9168214797973633","-0.9168214797973633","-1.515061378479004","-1.515061378479004","-1.515061378479004","-0.41887539625167847","-0.41887539625167847","-0.41887539625167847","-1.4359813928604126","-1.4359813928604126","-1.4359813928604126"
"17","-0.9340994358062744","-0.9340994358062744","-0.9340994358062744","-1.5014867782592773","-1.5014867782592773","-1.5014867782592773","-0.3137860894203186","-0.3137860894203186","-0.3137860894203186","-1.6022862195968628","-1.6022862195968628","-1.6022862195968628"
"18","-1.1986509561538696","-1.1986509561538696","-1.1986509561538696","-1.627677083015442","-1.627677083015442","-1.627677083015442","-0.5038213729858398","-0.5038213729858398","-0.5038213729858398","-1.6496860980987549","-1.6496860980987549","-1.6496860980987549"
"19","-1.6261478662490845","-1.6261478662490845","-1.6261478662490845","-1.4041509628295898","-1.4041509628295898","-1.4041509628295898","-0.961662769317627","-0.961662769317627","-0.961662769317627","-1.6214638948440552","-1.6214638948440552","-1.6214638948440552"
"20","-1.020534873008728","-1.020534873008728","-1.020534873008728","-1.8740234375","-1.8740234375","-1.8740234375","-1.0799542665481567","-1.0799542665481567","-1.0799542665481567","-1.466591477394104","-1.466591477394104","-1.466591477394104"
"21","-1.059402346611023","-1.059402346611023","-1.059402346611023","-1.4576687812805176","-1.4576687812805176","-1.4576687812805176","-0.6536742448806763","-0.6536742448806763","-0.6536742448806763","-1.4790403842926025","-1.4790403842926025","-1.4790403842926025"
"22","-1.5889986753463745","-1.5889986753463745","-1.5889986753463745","-1.5649935007095337","-1.5649935007095337","-1.5649935007095337","-1.097074270248413","-1.097074270248413","-1.097074270248413","-1.773567795753479","-1.773567795753479","-1.773567795753479"
"23","-0.8265843987464905","-0.8265843987464905","-0.8265843987464905","-1.618502140045166","-1.618502140045166","-1.618502140045166","-1.355513572692871","-1.355513572692871","-1.355513572692871","-1.3241583108901978","-1.3241583108901978","-1.3241583108901978"
"24","-1.1834121942520142","-1.1834121942520142","-1.1834121942520142","-1.5674703121185303","-1.5674703121185303","-1.5674703121185303","-0.938834011554718","-0.938834011554718","-0.938834011554718","-1.3665478229522705","-1.3665478229522705","-1.3665478229522705"
"25","-1.7547417879104614","-1.7547417879104614","-1.7547417879104614","-1.63754141330719","-1.63754141330719","-1.63754141330719","-0.7981758713722229","-0.7981758713722229","-0.7981758713722229","-1.7006230354309082","-1.7006230354309082","-1.7006230354309082"
"26","-1.252333164215088","-1.252333164215088","-1.252333164215088","-1.8212077617645264","-1.8212077617645264","-1.8212077617645264","-1.0333691835403442","-1.0333691835403442","-1.0333691835403442","-1.3866201639175415","-1.3866201639175415","-1.3866201639175415"
"27","-1.0403610467910767","-1.0403610467910767","-1.0403610467910767","-1.6229941844940186","-1.6229941844940186","-1.6229941844940186","-1.022407054901123","-1.022407054901123","-1.022407054901123","-1.5652605295181274","-1.5652605295181274","-1.5652605295181274"
"28","-1.0799989700317383","-1.0799989700317383","-1.0799989700317383","-1.489205002784729","-1.489205002784729","-1.489205002784729","-1.1125508546829224","-1.1125508546829224","-1.1125508546829224","-1.3839850425720215","-1.3839850425720215","-1.3839850425720215"
"29","-1.3625420331954956","-1.3625420331954956","-1.3625420331954956","-1.4815744161605835","-1.4815744161605835","-1.4815744161605835","-0.5144902467727661","-0.5144902467727661","-0.5144902467727661","-1.755368947982788","-1.755368947982788","-1.755368947982788"
"30","-1.5013326406478882","-1.5013326406478882","-1.5013326406478882","-1.4974576234817505","-1.4974576234817505","-1.4974576234817505","-1.3698558807373047","-1.3698558807373047","-1.3698558807373047","-1.2358615398406982","-1.2358615398406982","-1.2358615398406982"
"31","-1.15199613571167","-1.15199613571167","-1.15199613571167","-1.823996901512146","-1.823996901512146","-1.823996901512146","-0.8498435616493225","-0.8498435616493225","-0.8498435616493225","-1.1136558055877686","-1.1136558055877686","-1.1136558055877686"
"32","-1.0680369138717651","-1.0680369138717651","-1.0680369138717651","-1.8607168197631836","-1.8607168197631836","-1.8607168197631836","-0.7810835242271423","-0.7810835242271423","-0.7810835242271423","-1.309247374534607","-1.309247374534607","-1.309247374534607"
