"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - success_rate","Group: 14_09_fixed_beta0.5against_0829_baseline - success_rate__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - success_rate__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - success_rate","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - success_rate__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - success_rate__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - success_rate","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - success_rate__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - success_rate__MAX","Group: 10_09_continue0909 - success_rate","Group: 10_09_continue0909 - success_rate__MIN","Group: 10_09_continue0909 - success_rate__MAX"
"0","0.21052631578947367","0.21052631578947367","0.21052631578947367","0.23809523809523808","0.23809523809523808","0.23809523809523808","0.17391304347826086","0.17391304347826086","0.17391304347826086","0.25","0.25","0.25"
"1","0.2222222222222222","0.2222222222222222","0.2222222222222222","0.5","0.5","0.5","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.19047619047619047","0.19047619047619047","0.19047619047619047"
"2","0.5","0.5","0.5","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.5625","0.5625","0.5625","0.4","0.4","0.4"
"3","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.2631578947368421","0.2631578947368421","0.2631578947368421","0.23809523809523808","0.23809523809523808","0.23809523809523808","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.4","0.4","0.4"
"5","0.28","0.28","0.28","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.4","0.4","0.4","0.2608695652173913","0.2608695652173913","0.2608695652173913"
"6","0.5","0.5","0.5","0.05555555555555555","0.05555555555555555","0.05555555555555555","0.375","0.375","0.375","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"7","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.5625","0.5625","0.5625","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"8","0.2916666666666667","0.2916666666666667","0.2916666666666667","0.1875","0.1875","0.1875","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.375","0.375","0.375"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.13636363636363635","0.13636363636363635","0.13636363636363635","0.5","0.5","0.5","0.48","0.48","0.48"
"10","0.13333333333333333","0.13333333333333333","0.13333333333333333","0.19047619047619047","0.19047619047619047","0.19047619047619047","0.5882352941176471","0.5882352941176471","0.5882352941176471","0.35","0.35","0.35"
"11","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.22727272727272727","0.22727272727272727","0.22727272727272727","0.6111111111111112","0.6111111111111112","0.6111111111111112","0.5263157894736842","0.5263157894736842","0.5263157894736842"
"12","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.2","0.2","0.2","0.6923076923076923","0.6923076923076923","0.6923076923076923","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"13","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.4090909090909091","0.4090909090909091","0.4090909090909091","0.6","0.6","0.6"
"14","0.6923076923076923","0.6923076923076923","0.6923076923076923","0.15789473684210525","0.15789473684210525","0.15789473684210525","0.6","0.6","0.6","0.4444444444444444","0.4444444444444444","0.4444444444444444"
"15","0.6","0.6","0.6","0.25","0.25","0.25","0.4090909090909091","0.4090909090909091","0.4090909090909091","0.5789473684210527","0.5789473684210527","0.5789473684210527"
"16","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.7272727272727273","0.7272727272727273","0.7272727272727273","0.8518518518518519","0.8518518518518519","0.8518518518518519"
"17","0.6875","0.6875","0.6875","0.4","0.4","0.4","0.5789473684210527","0.5789473684210527","0.5789473684210527","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"18","0.48","0.48","0.48","0.4","0.4","0.4","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"19","0.72","0.72","0.72","0.5","0.5","0.5","0.7894736842105263","0.7894736842105263","0.7894736842105263","0.6","0.6","0.6"
"20","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.5789473684210527","0.5789473684210527","0.5789473684210527"
"21","0.8148148148148148","0.8148148148148148","0.8148148148148148","0.1","0.1","0.1","0.8235294117647058","0.8235294117647058","0.8235294117647058","0.7619047619047619","0.7619047619047619","0.7619047619047619"
"22","0.782608695652174","0.782608695652174","0.782608695652174","0.3181818181818182","0.3181818181818182","0.3181818181818182","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.6","0.6","0.6"
