"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - win","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - win__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - win__MAX","Group: 10_09_continue0909 - win","Group: 10_09_continue0909 - win__MIN","Group: 10_09_continue0909 - win__MAX"
"99","117","117","117","19","19","19","96","96","96","87","87","87"
"100","120","120","120","19","19","19","98","98","98","88","88","88"
"101","","","","","","","","","","1","1","1"
"102","","","","","","","","","","5","5","5"
"103","","","","","","","","","","6","6","6"
"104","","","","","","","","","","7","7","7"
"105","","","","","","","","","","9","9","9"
"106","","","","","","","","","","11","11","11"
"107","","","","","","","","","","11","11","11"
"108","","","","","","","","","","13","13","13"
"109","","","","","","","","","","13","13","13"
"110","","","","","","","","","","15","15","15"
"111","","","","","","","","","","17","17","17"
"112","","","","","","","","","","19","19","19"
"113","","","","","","","","","","19","19","19"
"114","","","","","","","","","","21","21","21"
"115","","","","","","","","","","21","21","21"
"116","","","","","","","","","","21","21","21"
"117","","","","","","","","","","22","22","22"
"118","","","","","","","","","","24","24","24"
"119","","","","","","","","","","27","27","27"
"120","","","","","","","","","","28","28","28"
"121","","","","","","","","","","31","31","31"
"122","","","","","","","","","","31","31","31"
"123","","","","","","","","","","32","32","32"
"124","","","","","","","","","","36","36","36"
"125","","","","","","","","","","37","37","37"
"126","","","","","","","","","","40","40","40"
"127","","","","","","","","","","43","43","43"
"128","","","","","","","","","","46","46","46"
"129","","","","","","","","","","46","46","46"
"130","","","","","","","","","","47","47","47"
"131","","","","","","","","","","48","48","48"
"132","","","","","","","","","","48","48","48"
"133","","","","","","","","","","48","48","48"
"134","","","","","","","","","","49","49","49"
"135","","","","","","","","","","53","53","53"
"136","","","","","","","","","","55","55","55"
"137","","","","","","","","","","55","55","55"
"138","","","","","","","","","","58","58","58"
"139","","","","","","","","","","61","61","61"
"140","","","","","","","","","","63","63","63"
"141","","","","","","","","","","66","66","66"
"142","","","","","","","","","","68","68","68"
"143","","","","","","","","","","71","71","71"
"144","","","","","","","","","","72","72","72"
"145","","","","","","","","","","73","73","73"
"146","","","","","","","","","","74","74","74"
"147","","","","","","","","","","76","76","76"
"148","","","","","","","","","","78","78","78"
"149","","","","","","","","","","81","81","81"
"150","","","","","","","","","","82","82","82"
"151","","","","","","","","","","85","85","85"
"152","","","","","","","","","","85","85","85"
"153","","","","","","","","","","87","87","87"
"154","","","","","","","","","","88","88","88"
"155","","","","","","","","","","90","90","90"
"156","","","","","","","","","","90","90","90"
"157","","","","","","","","","","91","91","91"
"158","","","","","","","","","","95","95","95"
"159","","","","","","","","","","96","96","96"
"160","","","","","","","","","","98","98","98"
"161","","","","","","","","","","99","99","99"
"162","","","","","","","","","","100","100","100"
"163","","","","","","","","","","103","103","103"
