"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Reward/J","Group: 14_09_fixed_beta0.5against_0829_baseline - Reward/J__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Reward/J__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Reward/J","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Reward/J__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Reward/J__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Reward/J","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Reward/J__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Reward/J__MAX","Group: 10_09_continue0909 - Reward/J","Group: 10_09_continue0909 - Reward/J__MIN","Group: 10_09_continue0909 - Reward/J__MAX"
"0","-27.60879703525051","-27.60879703525051","-27.60879703525051","-40.10808771717889","-40.10808771717889","-40.10808771717889","-29.48851563544131","-29.48851563544131","-29.48851563544131","-36.823654753205524","-36.823654753205524","-36.823654753205524"
"1","-37.732363508659105","-37.732363508659105","-37.732363508659105","-16.474522579629394","-16.474522579629394","-16.474522579629394","-15.229356439334623","-15.229356439334623","-15.229356439334623","-31.12367738776229","-31.12367738776229","-31.12367738776229"
"2","-24.869996850420605","-24.869996850420605","-24.869996850420605","-17.119369499519678","-17.119369499519678","-17.119369499519678","-4.023346508070467","-4.023346508070467","-4.023346508070467","-13.691038230374378","-13.691038230374378","-13.691038230374378"
"3","-33.49386528109222","-33.49386528109222","-33.49386528109222","-20.323155881924198","-20.323155881924198","-20.323155881924198","-31.215853488065388","-31.215853488065388","-31.215853488065388","-26.582538165157427","-26.582538165157427","-26.582538165157427"
"4","-20.903213329818087","-20.903213329818087","-20.903213329818087","-9.896606322968529","-9.896606322968529","-9.896606322968529","-38.886353560207176","-38.886353560207176","-38.886353560207176","-30.054728643758754","-30.054728643758754","-30.054728643758754"
"5","-31.1202764100335","-31.1202764100335","-31.1202764100335","-21.271475655928796","-21.271475655928796","-21.271475655928796","13.553773692404945","13.553773692404945","13.553773692404945","-23.295864583946337","-23.295864583946337","-23.295864583946337"
"6","7.974774962285834","7.974774962285834","7.974774962285834","-25.595746509862032","-25.595746509862032","-25.595746509862032","-1.4319901374098656","-1.4319901374098656","-1.4319901374098656","-16.308696267126827","-16.308696267126827","-16.308696267126827"
"7","7.925413241231338","7.925413241231338","7.925413241231338","-22.77337347077991","-22.77337347077991","-22.77337347077991","11.046643290256581","11.046643290256581","11.046643290256581","-14.108144619203944","-14.108144619203944","-14.108144619203944"
"8","-25.46925265940895","-25.46925265940895","-25.46925265940895","-14.552673158691437","-14.552673158691437","-14.552673158691437","-5.664593230136377","-5.664593230136377","-5.664593230136377","-3.85774031870992","-3.85774031870992","-3.85774031870992"
"9","-7.40061760960195","-7.40061760960195","-7.40061760960195","-17.35776976599181","-17.35776976599181","-17.35776976599181","1.948588967777729","1.948588967777729","1.948588967777729","-11.964410018567067","-11.964410018567067","-11.964410018567067"
"10","-6.227067847708683","-6.227067847708683","-6.227067847708683","-25.125542193520026","-25.125542193520026","-25.125542193520026","20.281899505512364","20.281899505512364","20.281899505512364","-4.9011533076383795","-4.9011533076383795","-4.9011533076383795"
"11","-0.6694525837563106","-0.6694525837563106","-0.6694525837563106","-33.67135325894726","-33.67135325894726","-33.67135325894726","5.60409498080601","5.60409498080601","5.60409498080601","2.016858493786421","2.016858493786421","2.016858493786421"
"12","9.201211105365877","9.201211105365877","9.201211105365877","-6.030616865959669","-6.030616865959669","-6.030616865959669","19.860147897869247","19.860147897869247","19.860147897869247","-7.49543357055671","-7.49543357055671","-7.49543357055671"
"13","16.388169860987908","16.388169860987908","16.388169860987908","-10.299722283992601","-10.299722283992601","-10.299722283992601","-10.86956281842117","-10.86956281842117","-10.86956281842117","8.279737077266878","8.279737077266878","8.279737077266878"
"14","11.357801710305925","11.357801710305925","11.357801710305925","-20.138285720089236","-20.138285720089236","-20.138285720089236","16.159983985364615","16.159983985364615","16.159983985364615","6.608401802579573","6.608401802579573","6.608401802579573"
"15","18.573383653636977","18.573383653636977","18.573383653636977","-18.82672402765216","-18.82672402765216","-18.82672402765216","12.010440972603506","12.010440972603506","12.010440972603506","8.70200431954065","8.70200431954065","8.70200431954065"
"16","11.325383354163668","11.325383354163668","11.325383354163668","-0.7414757239058802","-0.7414757239058802","-0.7414757239058802","16.99414150523756","16.99414150523756","16.99414150523756","16.658982173009118","16.658982173009118","16.658982173009118"
"17","21.39934602398828","21.39934602398828","21.39934602398828","7.139915361594218","7.139915361594218","7.139915361594218","4.429368141819801","4.429368141819801","4.429368141819801","-1.4309607797991173","-1.4309607797991173","-1.4309607797991173"
"18","10.310812016039657","10.310812016039657","10.310812016039657","4.72114994282457","4.72114994282457","4.72114994282457","1.5311998520695955","1.5311998520695955","1.5311998520695955","21.420748553529094","21.420748553529094","21.420748553529094"
