"Step","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MIN","Group: 14_09_fixed_beta0.5against_0829_baseline - Training/alpha__MAX","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 14_09_fixed_beta0.1/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MIN","Group: 09_09_fixed_beta0.9/adv_0.1/600/against_0829_baseline/0.995 - Training/alpha__MAX","Group: 10_09_continue0909 - Training/alpha","Group: 10_09_continue0909 - Training/alpha__MIN","Group: 10_09_continue0909 - Training/alpha__MAX"
"27","0.014574292115867138","0.014574292115867138","0.014574292115867138","0.16333889961242676","0.16333889961242676","0.16333889961242676","0.00946757011115551","0.00946757011115551","0.00946757011115551","0.016258293762803078","0.016258293762803078","0.016258293762803078"
"28","0.014000503346323967","0.014000503346323967","0.014000503346323967","0.16113199293613434","0.16113199293613434","0.16113199293613434","0.009432678110897541","0.009432678110897541","0.009432678110897541","0.015976738184690475","0.015976738184690475","0.015976738184690475"
"29","0.014110122807323933","0.014110122807323933","0.014110122807323933","0.15810681879520416","0.15810681879520416","0.15810681879520416","0.009070626460015774","0.009070626460015774","0.009070626460015774","0.015963807702064514","0.015963807702064514","0.015963807702064514"
"30","0.014484945684671402","0.014484945684671402","0.014484945684671402","0.160474494099617","0.160474494099617","0.160474494099617","0.008552808314561844","0.008552808314561844","0.008552808314561844","0.015853002667427063","0.015853002667427063","0.015853002667427063"
"31","0.014776596799492836","0.014776596799492836","0.014776596799492836","0.16022947430610657","0.16022947430610657","0.16022947430610657","0.008271893486380577","0.008271893486380577","0.008271893486380577","0.015633748844265938","0.015633748844265938","0.015633748844265938"
"32","0.01461722794920206","0.01461722794920206","0.01461722794920206","0.1594134420156479","0.1594134420156479","0.1594134420156479","0.008355021476745605","0.008355021476745605","0.008355021476745605","0.015466243028640747","0.015466243028640747","0.015466243028640747"
"33","0.014960954897105694","0.014960954897105694","0.014960954897105694","0.16157256066799164","0.16157256066799164","0.16157256066799164","0.00866030901670456","0.00866030901670456","0.00866030901670456","0.015410920605063438","0.015410920605063438","0.015410920605063438"
"34","0.015463300049304962","0.015463300049304962","0.015463300049304962","0.16353945434093475","0.16353945434093475","0.16353945434093475","0.008829391561448574","0.008829391561448574","0.008829391561448574","0.015177430585026741","0.015177430585026741","0.015177430585026741"
"35","0.015439024195075035","0.015439024195075035","0.015439024195075035","0.16164059937000275","0.16164059937000275","0.16164059937000275","0.008908398449420929","0.008908398449420929","0.008908398449420929","0.01509217731654644","0.01509217731654644","0.01509217731654644"
"36","0.015176676213741302","0.015176676213741302","0.015176676213741302","0.16359785199165344","0.16359785199165344","0.16359785199165344","0.008923163637518883","0.008923163637518883","0.008923163637518883","0.015327300876379013","0.015327300876379013","0.015327300876379013"
"37","0.015223078429698944","0.015223078429698944","0.015223078429698944","0.16868950426578522","0.16868950426578522","0.16868950426578522","0.008791548199951649","0.008791548199951649","0.008791548199951649","0.015252068638801575","0.015252068638801575","0.015252068638801575"
"38","0.015315238386392593","0.015315238386392593","0.015315238386392593","0.17032741010189056","0.17032741010189056","0.17032741010189056","0.009012715891003609","0.009012715891003609","0.009012715891003609","0.015252417884767056","0.015252417884767056","0.015252417884767056"
"39","0.015038536861538887","0.015038536861538887","0.015038536861538887","0.166513592004776","0.166513592004776","0.166513592004776","0.009082277305424213","0.009082277305424213","0.009082277305424213","0.015257539227604866","0.015257539227604866","0.015257539227604866"
"40","0.015341215766966343","0.015341215766966343","0.015341215766966343","0.17136511206626892","0.17136511206626892","0.17136511206626892","0.008967246860265732","0.008967246860265732","0.008967246860265732","0.01522635854780674","0.01522635854780674","0.01522635854780674"
"41","0.015611818991601467","0.015611818991601467","0.015611818991601467","0.17028771340847015","0.17028771340847015","0.17028771340847015","0.009217343293130398","0.009217343293130398","0.009217343293130398","0.01527472585439682","0.01527472585439682","0.01527472585439682"
"42","0.015763942152261734","0.015763942152261734","0.015763942152261734","0.1670883446931839","0.1670883446931839","0.1670883446931839","0.009087098762392998","0.009087098762392998","0.009087098762392998","0.01520820427685976","0.01520820427685976","0.01520820427685976"
"43","0.016039958223700523","0.016039958223700523","0.016039958223700523","0.1642090082168579","0.1642090082168579","0.1642090082168579","0.009046269580721855","0.009046269580721855","0.009046269580721855","0.01530594564974308","0.01530594564974308","0.01530594564974308"
"44","0.016024958342313766","0.016024958342313766","0.016024958342313766","0.16381734609603882","0.16381734609603882","0.16381734609603882","0.009242315776646137","0.009242315776646137","0.009242315776646137","0.015406519174575806","0.015406519174575806","0.015406519174575806"
"45","0.015594765543937683","0.015594765543937683","0.015594765543937683","0.16139371693134308","0.16139371693134308","0.16139371693134308","0.00938953086733818","0.00938953086733818","0.00938953086733818","0.015611698850989342","0.015611698850989342","0.015611698850989342"
"46","0.015480593778192997","0.015480593778192997","0.015480593778192997","0.16173185408115387","0.16173185408115387","0.16173185408115387","0.009487182833254337","0.009487182833254337","0.009487182833254337","0.01558722648769617","0.01558722648769617","0.01558722648769617"
"47","0.015235895290970802","0.015235895290970802","0.015235895290970802","0.16020582616329193","0.16020582616329193","0.16020582616329193","0.009193346835672855","0.009193346835672855","0.009193346835672855","0.01563330926001072","0.01563330926001072","0.01563330926001072"
"48","0.015429846942424774","0.015429846942424774","0.015429846942424774","0.16244319081306458","0.16244319081306458","0.16244319081306458","0.009215941652655602","0.009215941652655602","0.009215941652655602","0.015476024709641933","0.015476024709641933","0.015476024709641933"
"49","0.015148096717894077","0.015148096717894077","0.015148096717894077","0.16449469327926636","0.16449469327926636","0.16449469327926636","0.009188656695187092","0.009188656695187092","0.009188656695187092","0.015413287095725536","0.015413287095725536","0.015413287095725536"
"50","0.015288213267922401","0.015288213267922401","0.015288213267922401","0.16569896042346954","0.16569896042346954","0.16569896042346954","0.009214719757437706","0.009214719757437706","0.009214719757437706","0.01563250459730625","0.01563250459730625","0.01563250459730625"
"51","0.015018938109278679","0.015018938109278679","0.015018938109278679","0.16330744326114655","0.16330744326114655","0.16330744326114655","0.009081194177269936","0.009081194177269936","0.009081194177269936","0.015521971508860588","0.015521971508860588","0.015521971508860588"
"52","0.014818133786320686","0.014818133786320686","0.014818133786320686","0.16246238350868225","0.16246238350868225","0.16246238350868225","0.009025635197758675","0.009025635197758675","0.009025635197758675","0.015397308394312859","0.015397308394312859","0.015397308394312859"
"53","0.014421176165342331","0.014421176165342331","0.014421176165342331","0.1587105542421341","0.1587105542421341","0.1587105542421341","0.008886989206075668","0.008886989206075668","0.008886989206075668","0.015496546402573586","0.015496546402573586","0.015496546402573586"
"54","0.014634468592703342","0.014634468592703342","0.014634468592703342","0.15629348158836365","0.15629348158836365","0.15629348158836365","0.008636184968054295","0.008636184968054295","0.008636184968054295","0.015513114631175995","0.015513114631175995","0.015513114631175995"
"55","0.015192577615380287","0.015192577615380287","0.015192577615380287","0.15452322363853455","0.15452322363853455","0.15452322363853455","0.008566595613956451","0.008566595613956451","0.008566595613956451","0.01577918604016304","0.01577918604016304","0.01577918604016304"
"56","0.015694450587034225","0.015694450587034225","0.015694450587034225","0.15189851820468903","0.15189851820468903","0.15189851820468903","0.00858687236905098","0.00858687236905098","0.00858687236905098","0.016077524051070213","0.016077524051070213","0.016077524051070213"
"57","0.015734901651740074","0.015734901651740074","0.015734901651740074","0.1506996899843216","0.1506996899843216","0.1506996899843216","0.008579161949455738","0.008579161949455738","0.008579161949455738","0.015436631627380848","0.015436631627380848","0.015436631627380848"
"58","0.015869786962866783","0.015869786962866783","0.015869786962866783","0.14948761463165283","0.14948761463165283","0.14948761463165283","0.008452706038951874","0.008452706038951874","0.008452706038951874","0.015468337573111057","0.015468337573111057","0.015468337573111057"
